"RO-NO...
","BOOKED.
DATE","CLOSED.
DATE","DT
","TECH...
NO","LN
","SEQ
NO","M
","HT
","SC
","LBR..
TYPE","PAY.
TYPE","ACTUAL.
HOURS","SOLD...
HOURS","SOLD......
AMOUNT","LABOR.....
COST","OP-CODE...
","DESCRIPTION..
",
170229, 06MAY21, 06MAY21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
170230, 06MAY21, 06MAY21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
170231, 06MAY21, 06MAY21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
170232, 06MAY21, 06MAY21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
170233, 06MAY21, 06MAY21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
170235, 06MAY21, 06MAY21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
170236, 06MAY21, 06MAY21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
170237, 06MAY21, 06MAY21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
170238, 06MAY21, 06MAY21, S1,99999,  B,2,  , ST,   , ISD  ,  ROP,0,0,200,0, NCDI      , NEW CAR DETAI,"        "
,,,,,,,,,,,,,,,,,,
170244, 03MAY21, 04MAY21, S1,99999,  C,3,  , ST,   , ISM  ,  ROP,0,0,0,0, DECLINED  , CUSTOMER DECL,"        "
,,,,,,,,,,,,,,,,,,
170246, 14MAY21, 14MAY21, S1,99999,  H,10,  , ST,   , ISD  ,  ROP,0,0,112.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
170249, 03MAY21, 03MAY21, S1,99999,  B,2,  , ST,   , ISM  ,  ROP,0,0,0,0, DECLINED  , CUSTOMER DECL,"        "
,,,,,,,,,,,,,,,,,,
170253, 03MAY21, 03MAY21, S1,99999,  C,3,  , ST,   , CSX  ,  ROP,0,0,0,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
170257, 04MAY21, 14MAY21, S1,99999,  D,4,  , ST,   , WS4  ,  ROP,0,0,150,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
170258, 11MAY21, 11MAY21, S1,99999,  G,8,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
170260, 07MAY21, 07MAY21, S1,99999,  K,12,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
